sofifa_id,player_name,team,position,birth_year
test
229261,Denis Zakaria,Switzerland,MF,1996
233096,Denzel Dumfries,Netherlands,DF,1996
243009,Derek Cornelius,Canada,DF,1997
220906,Devis Epassy,Cameroon,GK,1993
182493,Diego Godín,Uruguay,DF,1986
245065,Diego Palacios,Ecuador,DF,1999
234577,Diogo Costa,Portugal,GK,1999
234574,Diogo Dalot,Portugal,DF,1999
229752,Djibril Sow,Switzerland,MF,1997
254069,Djorkaeff Reasco,Ecuador,FW,1999
199206,Domagoj Vida,Croatia,DF,1989
241671,Dominik Livaković,Croatia,GK,1995
268717,Douglas López,Costa Rica,MF,1998
175943,Dries Mertens,Belgium,MF,1987
199434,Dušan Tadić,Serbia,MF,1988
246430,Dušan Vlahović,Serbia,FW,2000
235565,Dylan Bronn,Tunisia,DF,1995
243349,Dylan Levitt,Wales,MF,2000
183277,Eden Hazard,Belgium,MF,1991
210257,Ederson,Brazil,GK,1993
215556,Edimilson Fernandes,Switzerland,FW,1996
179813,Edinson Cavani,Uruguay,FW,1987
234642,Edouard Mendy,Senegal,GK,1992
235844,Edson Álvarez,Mexico,MF,1997
248243,Eduardo Camavinga,France,DF,2002
194354,Ehsan Hajsafi,IR Iran,MF,1990
180739,Eiji Kawashima,Japan,GK,1983
238392,Elisha Owusu,Ghana,MF,1997
225126,Ellyes Skhiri,Tunisia,MF,1995
202811,Emiliano Martínez,Argentina,GK,1992
220295,Enner Valencia,Ecuador,FW,1989
241007,Enzo Ebosse,Cameroon,DF,1999
247090,Enzo Fernández,Argentina,MF,2001
233885,Eray Cömert,Switzerland,DF,1998
202335,Eric Dier,England,DF,1994
216302,Eric García,Spain,DF,2001
183569,Eric Maxim Choupo-Moting,Cameroon,FW,1989
172619,Erick Gutiérrez,Mexico,MF,1995
198040,Esteban Alvarado,Costa Rica,GK,1989
235735,Ethan Ampadu,Wales,MF,2000
219736,Ethan Horvath,United States,GK,1995
10886046,Everton Ribeiro,Brazil,MF,1989
231521,Exequiel Palacios,Argentina,MF,1998
183346,Fabian Frei,Switzerland,MF,1989
243664,Fabian Rieder,Switzerland,FW,2002
210047,Fabian Schär,Switzerland,DF,1991
209499,Fabinho,Brazil,MF,1993
253283,Facundo Pellistri,Uruguay,MF,2001
256136,Facundo Torres,Uruguay,FW,2000
223283,Famara Diedhiou,Senegal,FW,1992
239053,Federico Valverde,Uruguay,MF,1998
218215,Ferjani Sassi,Tunisia,MF,1992
182494,Fernando Muslera,Uruguay,GK,1986
256136,Ferrán Torres,Spain,FW,2000
208574,Filip Kostić,Serbia,DF,1992
221969,Filip Mladenović,Serbia,DF,1991
193881,Filip Đuričić,Serbia,MF,1992
238545,Firas Al-Buraikan,Saudi Arabia,MF,2000
236723,Fodé Ballo-Touré,Senegal,DF,1997
228618,Formose Mendy,Senegal,DF,2001
243473,Fran Karačić,Australia,DF,1996
213064,Francisco Calvo,Costa Rica,DF,1992
214584,Franco Armani,Argentina,GK,1986
209297,Fred,Brazil,MF,1993
201269,Frederik Rønnow,Denmark,GK,1992
228702,Frenkie de Jong,Netherlands,MF,1997
175254,Félix Torres Caicedo,Ecuador,DF,1997
230666,Gabriel Jesus,Brazil,FW,1997
232883,Gaku Shibasaki,Japan,MF,1992
268460,Garang Kuol,Australia,FW,2004
173731,Gareth Bale,Wales,FW,1989
264240,Gavi,Spain,MF,2004
245017,Gaël Ondoua,Cameroon,MF,1995
219732,Georges-Kévin N'Koudou,Cameroon,FW,1995
236537,Gerardo Arteaga,Mexico,DF,1998
193601,Germán Pezzella,Argentina,DF,1991
174754,Gerson Torres,Costa Rica,MF,1997
215316,Gerónimo Rulli,Argentina,GK,1992
241757,Ghaylène Chaalali,Tunisia,MF,1994
247124,Gideon Mensah,Ghana,DF,1998
245541,Gio Reyna,United States,FW,2002
225645,Giorgian De Arrascaeta,Uruguay,MF,1994
239580,Gleison Bremer,Brazil,DF,1997
231340,Gonzalo Montiel,Argentina,DF,1997
247181,Gonzalo Plata,Ecuador,MF,2000
256903,Gonçalo Ramos,Portugal,FW,2001
199503,Granit Xhaka,Switzerland,MF,1992
235073,Gregor Kobel,Switzerland,GK,1997
197242,Grzegorz Krychowiak,Poland,MF,1990
225659,Guido Rodríguez,Argentina,MF,1994
140233,Guillermo Ochoa,Mexico,GK,1985
12063042,Guillermo Varela,Uruguay,DF,1993
238743,Haji Wright,United States,FW,1998
208670,Hakim Ziyech,Morocco,FW,1993
258171,Hannibal Mejbri,Tunisia,MF,2003
200155,Hans Vanaken,Belgium,MF,1992
193408,Haris Seferović,Switzerland,FW,1992
202126,Harry Kane,England,FW,1993
203263,Harry Maguire,England,DF,1993
229901,Harry Souttar,Australia,DF,1998
220710,Harry Wilson,Wales,MF,1997
245751,Hassan Al Tambakti,Saudi Arabia,DF,1999
180561,Hassan Al-Haydos,Qatar,MF,1990
208974,Hattan Bahebri,Saudi Arabia,MF,1992
224151,Henry Martín,Mexico,FW,1992
253354,Hernán Galíndez,Ecuador,GK,1987
242087,Hidemasa Morita,Japan,MF,1995
234205,Hiroki Ito,Japan,DF,1999
208520,Hiroki Sakai,Japan,MF,1990
221992,Hirving Lozano,Mexico,FW,1995
268776,Homam Ahmed,Qatar,DF,1999
199236,Hong Chul,Korea Republic,DF,1990
15464554,Hossein Hosseini,IR Iran,GK,1992
241782,Hossein Kanaanizadegan,IR Iran,DF,1994
246352,Hugo Guillamón,Spain,DF,2000
167948,Hugo Lloris,France,GK,1986
226380,Hwang Hee-chan,Korea Republic,MF,1996
228010,Hwang In-beom,Korea Republic,MF,1996
212260,Hwang Ui-jo,Korea Republic,FW,1992
156519,Héctor Herrera,Mexico,MF,1990
173432,Héctor Moreno,Mexico,DF,1988
237678,Ibrahima Konaté,France,DF,1999
193474,Idrissa Gana Gueye,Senegal,MF,1989
233045,Ike Ugbo,Canada,FW,1998
238490,Ilias Chair,Morocco,MF,1997
252523,Iliman Ndiaye,Senegal,FW,2000
252293,Ismail Jakobs,Senegal,DF,1999
268774,Ismail Mohamad,Qatar,FW,1990
235353,Ismaila Sarr,Senegal,FW,1998
242893,Ismaël Koné,Canada,MF,2002
235236,Issam Jebali,Tunisia,FW,1991
258683,Ivan Ilić,Serbia,MF,2001
181458,Ivan Perišić,Croatia,FW,1989
242288,Ivica Ivušić,Croatia,GK,1995
258390,Ivo Grbić,Croatia,GK,1996
216201,Iñaki Williams,Ghana,FW,1994
206517,Jack Grealish,England,FW,1995
211378,Jackson Irvine,Australia,MF,1993
260740,Jackson Porozo,Ecuador,DF,2000
252495,Jakub Kamiński,Poland,MF,2002
265693,Jakub Kiwior,Poland,DF,2000
256790,Jamal Musiala,Germany,MF,2003
220697,James Maddison,England,FW,1996
238919,James Pantemis,Canada,GK,1997
212232,Jamie Maclaren,Australia,FW,1993
220570,Jan Bednarek,Poland,DF,1996
172871,Jan Vertonghen,Belgium,DF,1987
219948,Jason Cummings,Australia,FW,1995
268982,Jassem Gaber,Qatar,DF,2002
241775,Jawad El Yamiq,Morocco,DF,1992
213868,Jean-Charles Castelletto,Cameroon,DF,1995
209973,Jean-Pierre Nsame,Cameroon,FW,1993
193133,Jens Stryger Larsen,Denmark,DF,1991
239138,Jeong Woo-yeong,Korea Republic,MF,1999
253149,Jeremie Frimpong,Netherlands,DF,2000
246420,Jeremy Doku,Belgium,MF,2002
263522,Jeremy Sarmiento,Ecuador,MF,2002
272540,Jerome Ngom Mbekeli,Cameroon,MF,1998
245741,Jesper Lindstrøm,Denmark,MF,2000
241487,Jesús Ferreira,United States,FW,2000
226045,Jesús Gallardo,Mexico,DF,1994
268709,Jewison Bennette,Costa Rica,MF,2004
241927,Jhegson Méndez,Ecuador,MF,1997
224221,Joachim Andersen,Denmark,DF,1996
234678,Joakim Mæhle,Denmark,DF,1997
184716,Joe Allen,Wales,MF,1990
220677,Joe Morrell,Wales,MF,1997
229266,Joe Rodon,Wales,DF,1997
243133,Joe Scally,United States,DF,2002
204713,Joel Campbell,Costa Rica,FW,1992
185422,Joel King,Australia,DF,2000
255956,Joel Waterman,Canada,DF,1996
229996,Johan Venegas,Costa Rica,FW,1988
244349,Johan Vásquez,Mexico,DF,1998
203574,John Stones,England,DF,1994
210324,Jonas Hofmann,Germany,FW,1992
223550,Jonas Omlin,Switzerland,GK,1994
241522,Jonas Wind,Denmark,FW,1999
243630,Jonathan David,Canada,FW,2000
213439,Jonathan Osorio,Canada,MF,1992
224265,Jonny Williams,Wales,FW,1993
197756,Jordan Ayew,Ghana,FW,1991
183711,Jordan Henderson,England,MF,1990
226035,Jordan Morris,United States,FW,1994
204935,Jordan Pickford,England,GK,1994
201519,Jordan Veretout,France,MF,1993
189332,Jordi Alba,Spain,DF,1989
233493,Jorge Eduardo Sánchez,Mexico,DF,1997
230021,Joseph Aidoo,Ghana,DF,1995
242075,Josh Sargent,United States,FW,2000
212622,Joshua Kimmich,Germany,MF,1995
257771,Josip Juranović,Croatia,DF,1995
250955,Josip Stanišić,Croatia,DF,2000
256325,Josip Šutalo,Croatia,DF,2000
255137,José Cifuentes,Ecuador,MF,1999
251663,José Luis Rodríguez Bebanz,Uruguay,DF,1997
216460,José María Giménez,Uruguay,DF,1995
233493,José Sá,Portugal,GK,1993
210514,João Cancelo,Portugal,DF,1994
242444,João Félix,Portugal,FW,1999
212814,João Mário,Portugal,FW,1993
229391,João Palhinha,Portugal,MF,1995
251517,Joško Gvardiol,Croatia,DF,2002
237221,Juan Foyth,Argentina,DF,1998
226266,Juan Pablo Vargas,Costa Rica,DF,1995
252371,Jude Bellingham,England,MF,2003
241486,Jules Koundé,France,DF,1998
212194,Julian Brandt,Germany,FW,1996
246191,Julián Álvarez,Argentina,FW,2000
211003,Jung Woo-young,Korea Republic,MF,1989
189462,Junior Hoilett,Canada,FW,1990
232905,Junya Ito,Japan,MF,1993
251805,Jurriën Timber,Netherlands,DF,2001
232229,Justin Bijlow,Netherlands,GK,1998
235790,Kai Havertz,Germany,FW,1999
201024,Kalidou Koulibaly,Senegal,DF,1991
224081,Kalvin Phillips,England,MF,1995
247648,Kamal Miller,Canada,DF,1997
244853,Kamal Sowah,Ghana,FW,2000
256035,Kamaldeen Sulemana,Ghana,FW,2002
190547,Kamil Glik,Poland,DF,1988
228383,Kamil Grabara,Poland,GK,1999
177922,Kamil Grosicki,Poland,MF,1988
255565,Kaoru Mitoma,Japan,MF,1997
251852,Karim Adeyemi,Germany,FW,2002
197136,Karim Ansarifard,IR Iran,FW,1990
268778,Karim Boudiaf,Qatar,MF,1990
224069,Karl Toko Ekambi,Cameroon,FW,1992
224301,Karol Świderski,Poland,FW,1997
228687,Kasper Dolberg,Denmark,FW,1997
163587,Kasper Schmeichel,Denmark,GK,1986
237005,Keanu Baccus,Australia,MF,1998
213209,Kellyn Acosta,United States,MF,1995
216811,Kendall Waston,Costa Rica,DF,1988
255009,Kenneth Taylor,Netherlands,MF,2002
192985,Kevin De Bruyne,Belgium,FW,1991
272569,Kevin Rodríguez,Ecuador,FW,2000
188943,Kevin Trapp,Germany,GK,1990
253008,Kevin Álvarez,Mexico,DF,1999
193041,Keylor Navas,Costa Rica,GK,1986
268702,Keysher Fuller,Costa Rica,DF,1994
270643,Khalid Muneer,Qatar,FW,1998
216627,Kieffer Moore,Wales,FW,1992
186345,Kieran Trippier,England,DF,1990
213317,Kim Jin-su,Korea Republic,DF,1992
237086,Kim Min-jae,Korea Republic,DF,1996
244800,Kim Moonhwan,Korea Republic,DF,1995
191655,Kim Seung-gyu,Korea Republic,GK,1990
199231,Kim Tae-hwan,Korea Republic,DF,1989
201528,Kim Young-gwon,Korea Republic,DF,1990
213345,Kingsley Coman,France,FW,1996
233152,Ko Itakura,Japan,DF,1997
192984,Koen Casteels,Belgium,GK,1992
193747,Koke,Spain,MF,1992
257889,Kristijan Jakić,Croatia,FW,1997
224763,Krystian Bielik,Poland,MF,1998
223113,Krzysztof Piątek,Poland,FW,1995
238227,Krépin Diatta,Senegal,FW,1999
245155,Kudus Mohammed,Ghana,FW,2000
211927,Kwon Chang-hoon,Korea Republic,FW,1994
212778,Kwon Kyung-won,Korea Republic,DF,1992
233931,Kye Rowles,Australia,DF,1998
188377,Kyle Walker,England,DF,1990
231747,Kylian Mbappé,France,FW,1998
231478,Lautaro Martínez,Argentina,FW,1997
229956,Lawrence Ati-Zigi,Ghana,GK,1996
212501,Leander Dendoncker,Belgium,DF,1995
207439,Leandro Paredes,Argentina,MF,1994
207421,Leandro Trossard,Belgium,FW,1994
221671,Lee Jae-sung,Korea Republic,MF,1992
243780,Lee Kangin,Korea Republic,MF,2001
209658,Leon Goretzka,Germany,MF,1995
222492,Leroy Sané,Germany,FW,1996
242643,Liam Fraser,Canada,MF,1998
240925,Liam Millar,Canada,DF,1999
158023,Lionel Messi,Argentina,FW,1987
231478,Lisandro Martínez,Argentina,DF,1998
244261,Lovro Majer,Croatia,MF,1998
243580,Loïs Openda,Belgium,FW,2000
223959,Luca de la Torre,United States,MF,1998
213095,Lucas Cavallini,Canada,FW,1992
220814,Lucas Hernández,France,DF,1996
233927,Lucas Paquetá,Brazil,MF,1997
223959,Lucas Torreira,Uruguay,MF,1996
222382,Luis Chávez,Mexico,MF,1996
243015,Luis Romo,Mexico,DF,1995
176580,Luis Suárez,Uruguay,FW,1987
232432,Luka Jović,Serbia,FW,1997
177003,Luka Modrić,Croatia,MF,1985
258775,Luka Sučić,Croatia,MF,2002
222331,Lukas Klostermann,Germany,DF,1996
205988,Luke Shaw,England,DF,1995
259313,Luuk de Jong,Netherlands,FW,1990
243549,Majid Hosseini,IR Iran,DF,1996
245021,Mamadou Loum,Senegal,MF,1996
239076,Manaf Nurudeen,Ghana,GK,1999
229237,Manuel Akanji,Switzerland,DF,1995
167495,Manuel Neuer,Germany,GK,1986
253306,Manuel Ugarte Ribeiro,Uruguay,MF,2001
192448,Marc-André ter Stegen,Germany,GK,1992
216352,Marcelo Brozović,Croatia,MF,1992
220834,Marco Asensio,Spain,FW,1996
246009,Marco Tilio,Australia,MF,2001
224334,Marcos Acuña,Argentina,DF,1991
226161%3Fprofile%3Dnew,Marcos Llorente,Spain,DF,1995
231677,Marcus Rashford,England,FW,1997
228093,Marcus Thuram,France,FW,1997
192318,Mario Götze,Germany,MF,1992
223273,Mario Pašalić,Croatia,FW,1995
237833,Mark Harris,Wales,FW,1998
238922,Mark-Anthony Kaye,Canada,MF,1994
227290,Marko Dmitrović,Serbia,GK,1992
232099,Marko Grujić,Serbia,MF,1996
205855,Marko Livaja,Croatia,FW,1993
272539,Marou Souaibou,Cameroon,FW,2000
207865,Marquinhos,Brazil,DF,1994
208461,Marten de Roon,Netherlands,MF,1991
193290,Martin Braithwaite,Denmark,FW,1991
244456,Martin Erlic,Croatia,DF,1998
236556,Martin Hongla,Cameroon,MF,1998
251566,Martinelli,Brazil,FW,2001
182495,Martín Cáceres,Uruguay,DF,1987
233064,Mason Mount,England,MF,1999
207410,Mateo Kovačić,Croatia,MF,1994
224302,Mateusz Wieteska,Poland,DF,1997
253124,Matheus Nunes,Portugal,MF,1998
195033,Mathew Leckie,Australia,MF,1991
199005,Mathew Ryan,Australia,GK,1992
229723,Mathias Jensen,Denmark,MF,1996
240716,Mathías Olivera,Uruguay,DF,1997
233267,Matt Turner,United States,GK,1994
190583,Matthew Smith,Wales,MF,1999
207862,Matthias Ginter,Germany,DF,1994
235243,Matthijs de Ligt,Netherlands,DF,1999
227174,Matty Cash,Poland,DF,1997
236496,Mattéo Guendouzi,France,FW,1999
219985,Matías Vecino,Uruguay,MF,1991
253290,Matías Viña,Uruguay,DF,1997
239207,Maxi Gómez,Uruguay,FW,1996
191648,Maya Yoshida,Japan,DF,1988
241788,Mehdi Taremi,IR Iran,FW,1992
14453628,Mehdi Torabi,IR Iran,MF,1994
202556,Memphis,Netherlands,FW,1994
268783,Meshaal Barsham,Qatar,GK,1998
240944,Michael Estrada,Ecuador,FW,1996
251633,Michał Skóraś,Poland,MF,2000
236898,Michel Aebischer,Switzerland,MF,1997
204529,Michy Batshuayi,Belgium,FW,1993
233169,Miki Yamane,Japan,DF,1993
241508,Mikkel Damsgaard,Denmark,MF,2000
233218,Milad Mohammadi,IR Iran,DF,1993
205211,Milan Borjan,Canada,GK,1987
229585,Miloš Degenek,Australia,DF,1994
221354,Miloš Veljković,Serbia,DF,1995
221174,Mislav Oršić,Croatia,FW,1992
209885,Mitchell Duke,Australia,FW,1991
268822,Mohamed Ali Ben Romdhane,Tunisia,MF,1999
242041,Mohamed Dräger,Tunisia,DF,1996
220075,Mohamed Kanno,Saudi Arabia,MF,1994
271636,Mohammed Al Yami,Saudi Arabia,GK,1997
221370,Mohammed Al-Breik,Saudi Arabia,DF,1992
210923,Mohammed Al-Owais,Saudi Arabia,GK,1991
268780,Mohammed Muntari,Qatar,FW,1993
244915,Mohammed Salisu,Ghana,DF,1999
268775,Mohammed Waad,Qatar,MF,1999
218976,Moisés Caicedo,Ecuador,MF,2001
261275,Moisés Ramírez,Ecuador,GK,2000
245410,Montassar Talbi,Tunisia,DF,1998
227921,Morteza Pouraliganji,IR Iran,DF,1992
279194,Mostafa Meshaal,Qatar,MF,2001
209483,Mouez Hassen,Tunisia,GK,1995
15037294,Moumi Ngamaleu,Cameroon,FW,1994
263282,Moussa N'Diaye,Senegal,DF,2002
256692,Moustapha Name,Senegal,MF,1995
220253,Munir,Morocco,GK,1989
268784,Musab Kheder,Qatar,DF,1993
238097,Na Sang-ho,Korea Republic,FW,1996
15778502,Nader Ghandri,Tunisia,DF,1995
233084,Nahuel Molina,Argentina,DF,1998
272470,Naif Al-Hadhrami,Qatar,MF,2001
198861,Nampalys Mendy,Senegal,MF,1992
241938,Nasser Al-Dawsari,Saudi Arabia,FW,1998
208920,Nathan Aké,Netherlands,DF,1995
241861,Nathaniel Atkinson,Australia,DF,1999
208949,Nawaf Al Abed,Saudi Arabia,MF,1990
255368,Nawaf Al Aqidi,Saudi Arabia,GK,2000
244749,Nayef Aguerd,Morocco,DF,1996
205257,Naïm Sliti,Tunisia,MF,1992
243057,Neco Williams,Wales,DF,2001
193198,Nemanja Gudelj,Serbia,MF,1991
239433,Nemanja Maksimović,Serbia,MF,1995
243656,Nemanja Radonjić,Serbia,DF,1996
190871,Neymar,Brazil,MF,1992
203841,Nick Pope,England,GK,1992
205431,Niclas Füllkrug,Germany,FW,1993
221491,Nico Elvedi,Switzerland,DF,1996
247819,Nico Schlotterbeck,Germany,DF,1999
243057,Nico Williams,Spain,FW,2002
262113,Nicola Zalewski,Poland,MF,2002
259197,Nicolas Jackson,Senegal,FW,2001
