sofifa_id,sticker_id,player_name,team,position,birth_year
245037,ESP6,Eric García Martret,Spain,DF,2001
183569,CMR18,Jean-Eric Maxim Choupo-Moting,Cameroon,FW,1989
235735,WAL5,Ethan Ampadu,Wales,MF,2000
253283,URU19,Facundo Pellistri Rebollo,Uruguay,MF,2001
182494,URU3,Néstor Fernando Muslera Micol,Uruguay,GK,1986
208574,SRB10,Filip Kostić,Serbia,DF,1992
193881,SRB8,Filip Đuričić,Serbia,MF,1992
214584,ARG4,Franco Armani,Argentina,GK,1986
226790,BRA13,Onyinye Wilfred Ndidi,Brazil,MF,1993
228702,NED11,Frenkie de Jong,Netherlands,MF,1997
264240,ESP10,Pablo Martín Páez Gavira,Spain,MF,2004
247124,GHA8,Gideon Mensah,Ghana,DF,1998
199503,SUI14,Granit Xhaka,Switzerland,MF,1992
235073,SUI4,Gregor Kobel,Switzerland,GK,1997
197242,POL13,Grzegorz Krychowiak,Poland,MF,1990
225659,ARG14,Guido Rodríguez,Argentina,MF,1994
140233,MEX3,Francisco Guillermo Ochoa Magaña,Mexico,GK,1985
200155,BEL15,Hans Vanaken,Belgium,MF,1992
193408,SUI19,Haris Seferović,Switzerland,FW,1992
202126,ENG18,Harry Kane,England,FW,1993
203263,ENG7,Harry Maguire,England,DF,1993
220710,WAL16,Harry Wilson,Wales,MF,1997
167948,FRA3,Hugo Lloris,France,GK,1986
238490,MAR13,Ilias Chair,Morocco,MF,1997
181458,CRO15,Ivan Perišić,Croatia,FW,1989
206517,ENG12,Jack Grealish,England,FW,1995
220570,POL5,Jan Bednarek,Poland,DF,1996
172871,BEL9,Jan Vertonghen,Belgium,DF,1987
213868,CMR5,Jean-Charles Castelletto,Cameroon,DF,1995
193133,DEN8,Jens Stryger Larsen,Denmark,DF,1991
263522,ECU15,Jeremy Sarmiento,Ecuador,MF,2002
234678,DEN7,Joakim Mæhle Pedersen,Denmark,DF,1997
229266,WAL10,Joe Rodon,Wales,DF,1997
203574,ENG9,John Stones,England,DF,1994
210324,DFB16,Jonas Hofmann,Germany,FW,1992
253932,CAN18,Jonathan David Dos Santos Duré,Canada,FW,2000
213439,CAN16,Jonathan Osorio,Canada,MF,1992
183711,ENG13,Jordan Henderson,England,MF,1990
204935,ENG3,Jordan Pickford,England,GK,1994
189332,ESP7,Jordi Alba Ramos,Spain,DF,1989
257771,CRO7,Josip Juranović,Croatia,DF,1995
216460,URU7,José María Giménez de Vargas,Uruguay,DF,1995
251517,CRO6,Joško Gvardiol,Croatia,DF,2002
241486,FRA8,Jules Koundé,France,DF,1998
212194,DFB13,Julian Brandt,Germany,FW,1996
246191,ARG15,Julián Álvarez,Argentina,FW,2000
189462,CAN19,David Junior Hoilett,Canada,FW,1990
232229,NED3,Justin Bijlow,Netherlands,GK,1998
201024,SEN8,Kalidou Koulibaly,Senegal,DF,1991
224081,ENG15,Kalvin Phillips,England,MF,1995
256035,GHA20,Kamaldeen Sulemana,Ghana,FW,2002
197136,IRN17,Karim Ansarifard,IR Iran,FW,1990
224301,POL20,Karol Świderski,Poland,FW,1997
228687,DEN17,Kasper Dolberg Rasmussen,Denmark,FW,1997
192985,BEL11,Kevin De Bruyne,Belgium,FW,1991
188943,DFB4,Kevin Trapp,Germany,GK,1990
193041,CRC3,Keylor Navas Gamboa,Costa Rica,GK,1986
223113,POL19,Krzysztof Piątek,Poland,FW,1995
238227,SEN11,Krépin Diatta,Senegal,FW,1999
188377,ENG10,Kyle Walker,England,DF,1990
231747,FRA19,Kylian Mbappé Lottin,France,FW,1998
223959,URU14,Lucas Torreira Di Pascua,Uruguay,MF,1996
232432,SRB17,Luka Jović,Serbia,FW,1997
177003,CRO13,Luka Modrić,Croatia,MF,1985
205988,ENG8,Luke Shaw,England,DF,1995
243549,IRN6,Seyed Majid Hosseini,IR Iran,DF,1996
192448,DFB3,Marc-André ter Stegen,Germany,GK,1992
216352,CRO11,Marcelo Brozović,Croatia,MF,1992
226161,ESP12,Marcos Llorente Moreno,Spain,DF,1995
223273,CRO14,Mario Pašalić,Croatia,FW,1995
238922,CAN15,Mark-Anthony Kaye,Canada,MF,1994
205855,CRO19,Marko Livaja,Croatia,FW,1993
193290,DEN16,Martin Braithwaite Christensen,Denmark,FW,1991
236556,CMR11,Martin Hongla Yma,Cameroon,MF,1998
182495,URU6,José Martín Cáceres Silva,Uruguay,DF,1987
233064,ENG14,Mason Mount,England,MF,1999
207410,CRO12,Mateo Kovačić,Croatia,MF,1994
240716,URU9,Mathías Olivera Miramontes,Uruguay,DF,1997
207862,DFB5,Matthias Ginter,Germany,DF,1994
235243,NED6,Matthijs de Ligt,Netherlands,DF,1999
227174,POL7,Matty Cash,Poland,DF,1997
219985,URU16,Matías Vecino Falero,Uruguay,MF,1991
253290,URU10,Matías Viña,Uruguay,DF,1997
241788,IRN20,Mehdi Taremi,IR Iran,FW,1992
202556,NED18,Memphis Depay,Netherlands,FW,1994
205211,CAN3,Milan Borjan,Canada,GK,1987
