player_name,sticker,team,code_prefix,code_number,source_line
Kingsley Coman,FRA17,France,FRA,17,FRA17 Kingsley Coman - France
Antoine Griezmann,FRA18,France,FRA,18,FRA18 Antoine Griezmann - France
Kylian Mbappé,FRA19,France,FRA,19,FRA19 Kylian Mbappé - France
Christopher Nkunku,FRA20,France,FRA,20,FRA20 Christopher Nkunku - France
Manuel Neuer,GER3,Germany,GER,3,GER3 Manuel Neuer - Germany
Marc-André ter Stegen,GER4,Germany,GER,4,GER4 Marc-André ter Stegen - Germany
Matthias Ginter,GER5,Germany,GER,5,GER5 Matthias Ginter - Germany
Robin Gosens,GER6,Germany,GER,6,GER6 Robin Gosens - Germany
Thilo Kehrer,GER7,Germany,GER,7,GER7 Thilo Kehrer - Germany
David Raum,GER8,Germany,GER,8,GER8 David Raum - Germany
Antonio Rüdiger,GER9,Germany,GER,9,GER9 Antonio Rüdiger - Germany
Niklas Süle,GER10,Germany,GER,10,GER10 Niklas Süle - Germany
Leon Goretzka,GER11,Germany,GER,11,GER11 Leon Goretzka - Germany
İlkay Gündoğan,GER12,Germany,GER,12,GER12 İlkay Gündoğan - Germany
Kai Havertz,GER13,Germany,GER,13,GER13 Kai Havertz - Germany
Jonas Hofmann,GER14,Germany,GER,14,GER14 Jonas Hofmann - Germany
Joshua Kimmich,GER15,Germany,GER,15,GER15 Joshua Kimmich - Germany
Serge Gnabry,GER16,Germany,GER,16,GER16 Serge Gnabry - Germany
Thomas Müller,GER17,Germany,GER,17,GER17 Thomas Müller - Germany
Marco Reus,GER18,Germany,GER,18,GER18 Marco Reus - Germany
Leroy Sané,GER19,Germany,GER,19,GER19 Leroy Sané - Germany
Timo Werner,GER20,Germany,GER,20,GER20 Timo Werner - Germany
Joe Wollacott,GHA3,Ghana,GHA,3,GHA3 Joe Wollacott - Ghana
Richard Ofori,GHA4,Ghana,GHA,4,GHA4 Richard Ofori - Ghana
Daniel Amartey,GHA5,Ghana,GHA,5,GHA5 Daniel Amartey - Ghana
Abdul-Rahman Baba,GHA6,Ghana,GHA,6,GHA6 Abdul-Rahman Baba - Ghana
Alexander Djiku,GHA7,Ghana,GHA,7,GHA7 Alexander Djiku - Ghana
Gideon Mensah,GHA8,Ghana,GHA,8,GHA8 Gideon Mensah - Ghana
Jonathan Mensah,GHA9,Ghana,GHA,9,GHA9 Jonathan Mensah - Ghana
Andy Yiadom,GHA10,Ghana,GHA,10,GHA10 Andy Yiadom - Ghana
Iddrisu Baba,GHA11,Ghana,GHA,11,GHA11 Iddrisu Baba - Ghana
Mohammed Kudus,GHA12,Ghana,GHA,12,GHA12 Mohammed Kudus - Ghana
Daniel-Kofi Kyereh,GHA13,Ghana,GHA,13,GHA13 Daniel-Kofi Kyereh - Ghana
Thomas Partey,GHA14,Ghana,GHA,14,GHA14 Thomas Partey - Ghana
Mubarak Wakaso,GHA15,Ghana,GHA,15,GHA15 Mubarak Wakaso - Ghana
Felix Afena-Gyan,GHA16,Ghana,GHA,16,GHA16 Felix Afena-Gyan - Ghana
André Ayew,GHA17,Ghana,GHA,17,GHA17 André Ayew - Ghana
Jordan Ayew,GHA18,Ghana,GHA,18,GHA18 Jordan Ayew - Ghana
Issahaku Abdul Fatawu,GHA19,Ghana,GHA,19,GHA19 Issahaku Abdul Fatawu - Ghana
Kamaldeen Sulemana,GHA20,Ghana,GHA,20,GHA20 Kamaldeen Sulemana - Ghana
Amir Abedzadeh,IRN3,Iran,IRN,3,IRN3 Amir Abedzadeh - Iran
Alireza Beiranvand,IRN4,Iran,IRN,4,IRN4 Alireza Beiranvand - Iran
Ehsan Hajsafi,IRN5,Iran,IRN,5,IRN5 Ehsan Hajsafi - Iran
Majid Hosseini,IRN6,Iran,IRN,6,IRN6 Majid Hosseini - Iran
Hossein Kanaani,IRN7,Iran,IRN,7,IRN7 Hossein Kanaani - Iran
Shoja Khalilzadeh,IRN8,Iran,IRN,8,IRN8 Shoja Khalilzadeh - Iran
Milad Mohammadi,IRN9,Iran,IRN,9,IRN9 Milad Mohammadi - Iran
Sadegh Moharrami,IRN10,Iran,IRN,10,IRN10 Sadegh Moharrami - Iran
Omid Noorafkan,IRN11,Iran,IRN,11,IRN11 Omid Noorafkan - Iran
Vahid Amiri,IRN12,Iran,IRN,12,IRN12 Vahid Amiri - Iran
Saeid Ezatolahi,IRN13,Iran,IRN,13,IRN13 Saeid Ezatolahi - Iran
Ali Gholizadeh,IRN14,Iran,IRN,14,IRN14 Ali Gholizadeh - Iran
Alireza Jahanbakhsh,IRN15,Iran,IRN,15,IRN15 Alireza Jahanbakhsh - Iran
Ahmad Nourollahi,IRN16,Iran,IRN,16,IRN16 Ahmad Nourollahi - Iran
Karim Ansarifard,IRN17,Iran,IRN,17,IRN17 Karim Ansarifard - Iran
Sardar Azmoun,IRN18,Iran,IRN,18,IRN18 Sardar Azmoun - Iran
Saman Ghoddos,IRN19,Iran,IRN,19,IRN19 Saman Ghoddos - Iran
Mehdi Taremi,IRN20,Iran,IRN,20,IRN20 Mehdi Taremi - Iran
Shuichi Gonda,JPN3,Japan,JPN,3,JPN3 Shuichi Gonda - Japan
