player_name,player_id
Lautaro Martinez,261962
Paulo Dybala,261962
Thiago Almada,261962
Angel Di Maria,261962
Angel Correa,261962
Axel Disasi,261962
William Saliba,261962
Theo Hernandez,261962
Lucas Hernandez,261962
Dayot Upamecano,261962
Matteo Guendouzi,261962
Kingsley Coman,261962
Kylian Mbappe,231747
Marcus Thuram,261962
Ivica Ivusic,261962
Dejan Lovren,261962
Munir Mohamedi,261962
Ahmed Reda Tagnaouti,261962
Achraf Hakimi,261962
Roman Saiss,261962
Achraf Dari,261962
Yahia Attiyat Allah,261962
Badr Benoun,261962
Abdelhamid Sabiri,261962
Bilal El Khannous,261962
Yahya Jabrane,261962
Abde Ezzalzouli,261962
Walid Cheddira,261962
Denzel Dumfries,261962
Jurrien Timber,261962
Jeremie Frimpong,261962
Maarten de Roon,261962
Kenneth Taylor,261962
Steven Bergwijn,261962
Cody Gakpo,261962
Noa Lang,261962
Jude Bellingham,261962
Phil Foden,261962
Weverton,261962
Dani Alves,261962
Everton Ribeiro,261962
Neymar,190871
Gabriel Matinelli,261962
Antonio Silva,261962
Raphael Guerreiro,261962
Joao Palhinha,261962
Mat Ryan,261962
Danny Vukovic,261962
Andrew Redmayne,261962
Aziz Behic,261962
Bailey Wright,261962
Harry Souttar,261962
Joel King,261962
Kye Rowles,261962
Thomas Deng,261962
Aaron Mooy,261962
Jackson Irvine,261962
Riley McGree,261962
Cameron Devlin,261962
Mathew Leckie,261962
Awer Mabil,261962
Mitchell Duke,261962
Craig Goodwin,261962
Jason Cummings,261962
Garang Kuol,261962
Matt Turner,261962
Ethan Horvath,261962
Sean Johnson,261962
Sergiño Dest,261962
Shaq Moore,261962
Tim Ream,261962
Joe Scally,261962
DeAndre Yedlin,261962
Walker Zimmerman,261962
Brenden Aaronson,261962
Kellyn Acosta,261962
Tyler Adams,261962
Luca de la Torre,261962
Weston McKennie,261962
Yunus Musah,261962
Cristian Roldan,261962
Christian Pulisic,261962
Gio Reyna,261962
Tim Weah,261962
Wojciech Szczesny,261962
Kamil Grabara,261962
Lukasz Skorupski,261962
Kamil Glik,261962
Jakub Kiwior,261962
Przemyslaw Frankowski,261962
Michal Skoras,261962
Damian Szymanski,261962
Piotr Zielinski,261962
Szymon Zurkowski,261962
Arkadiusz Milik,261962
Alfred Gomis,261962
Seny Dieng,261962
Papa Abou Cisse,261962
Ismail Jakobs,261962
Moussa Ndiaye,261962
Papa Gueye,261962
Pathe Ciss,261962
Loum Ndiaye,261962
Ismalia Sarr,261962
Bamba Dieng,261962
Iliman Ndiaye,261962
Nicolas Jackson,261962
Eiji Kawashima,261962
Shuichi Gonda,261962
Daniel Schmidt,261962
Miki Yamane,261962
Shogo Taniguchi,261962
Yuto Nagatomo,261962
Takehiro Tomiyasu,261962
Hiroki Sakai,261962
Maya Yoshida,261962
Hiroki Ito,261962
Wataru Endo,261962
Gaku Shibasaki,261962
Ritsu Doan,261962
Kaoru Mitoma,261962
Takumi Minamino,261962
Hidemasa Morita,261962
Junya Ito,261962
Daichi Kamada,261962
Ao Tanaka,261962
Yuki Soma,261962
Takuma Asano,261962
Shuto Machino,261962
Ayase Ueda,261962
Daizen Maeda,261962
Kim Seung-gyu,261962
Jo Hyeon-woon,261962
Song Bum-keun,261962
Kim Min-jae,261962
Kim Jin-su,261962
Kim Moon-hwan,261962
Yoon Jong-gyu,261962
Kim Young-gwon,261962
Kim Tae-hwan,261962
Kwon Kyung-won,261962
Cho Yu-min,261962
Jung Woo-young,261962
Na Sang-ho,261962
Paik Seung-ho,261962
Son Jun-ho,261962
Song Min-kyu,261962
Kwon Chang-hoon,261962
Lee Jae-sung,261962
Hwang In-beom,261962
Lee Kang-in,261962
Son Heung-min,261962
Hwang Hee-chan,261962
Jeong Woo-yeong,261962
Hwang Ui-jo,261962
Cho Gue-sung,261962
Cesar Azpilicueta,261962
